year,code,name,ASAL,DrySpell4_MAM,DrySpell4_MAMJJA,DrySpell4_OND
2010,51359,-999,1,6.2,9.7,5.4
2011,51359,-999,1,5.6,8.7,5.8
2012,51359,-999,1,5,10.4,6.7
2013,51359,-999,1,5,9.1,7.8
2014,51359,-999,1,6.2,10.9,6.9
2015,51359,-999,1,4.6,7.9,5.7
2016,51359,-999,1,4.6,7.2,1.3
2017,51359,-999,1,2.1,5.7,6.8
1981,51361,-999,1,3.5,7.6,5.4
1982,51361,-999,1,5.5,9.2,7.3
1983,51361,-999,1,5.4,9.8,6.5
1984,51361,-999,1,5.5,9.6,5.9
1985,51361,-999,1,5.7,9.7,5.9
1986,51361,-999,1,5.7,10,5.3
1987,51361,-999,1,6.5,10.3,6.6
1988,51361,-999,1,5,8,5.1
1989,51361,-999,1,6,10.2,4.7
1990,51361,-999,1,4.3,8.1,6.2
1991,51361,-999,1,6.4,10.3,6.7
1992,51361,-999,1,6.6,10.6,5.8
1993,51361,-999,1,6.5,10.4,6.5
1994,51361,-999,1,5.8,10.4,6.5
1995,51361,-999,1,5.4,10,6.5
1996,51361,-999,1,4.9,9,5.7
1997,51361,-999,1,3.8,7.8,5.3
1998,51361,-999,1,4.3,7.9,6.6
1999,51361,-999,1,7.1,11.5,6
2000,51361,-999,1,4.9,8.8,5.1
2001,51361,-999,1,5.2,9.1,7.1
2002,51361,-999,1,4.9,8.5,6.5
2003,51361,-999,1,4.4,8.5,5.2
2004,51361,-999,1,6,10.3,6.8
2005,51361,-999,1,5.9,9.9,6.6
2006,51361,-999,1,6.1,9.7,6.1
2007,51361,-999,1,5.5,9.3,5.8
2008,51361,-999,1,4.6,8.5,5.6
2009,51361,-999,1,6,9.5,6.3
2010,51361,-999,1,6,10.2,5.7
2011,51361,-999,1,5.7,9.1,5.4
2012,51361,-999,1,4.9,8.6,7.5
2013,51361,-999,1,5.9,10.1,7
2014,51361,-999,1,6.8,11.9,7
2015,51361,-999,1,4.1,8.9,6.1
2016,51361,-999,1,4,7.3,3.1
2017,51361,-999,1,3.8,7.3,5.1
1981,51363,-999,1,5.3,7.8,5.4
1982,51363,-999,1,5.4,7.5,6
1983,51363,-999,1,5.8,8,6.6
1984,51363,-999,1,5.4,6.2,5.8
1985,51363,-999,1,6,7.2,7.4
1986,51363,-999,1,6,8.5,5.7
1987,51363,-999,1,6.9,8.5,6.3
1988,51363,-999,1,4.4,5.5,6.4
1989,51363,-999,1,7.2,8.9,6.2
1990,51363,-999,1,5.9,7.3,4.5
1991,51363,-999,1,8.1,10.2,7
1992,51363,-999,1,7,9.5,6.6
1993,51363,-999,1,6.6,7.7,4.6
1994,51363,-999,1,6.8,8.8,6.9
1995,51363,-999,1,5.8,8.6,7.4
1996,51363,-999,1,7.1,8.9,6.3
1997,51363,-999,1,3,4.7,5.2
1998,51363,-999,1,5.8,8.6,6.2
1999,51363,-999,1,5.5,7.6,5.5
2000,51363,-999,1,4.8,5.9,6
2001,51363,-999,1,6.7,8.4,5.6
2002,51363,-999,1,5.7,6.8,6
2003,51363,-999,1,5,6.1,7.2
2004,51363,-999,1,5.7,7.4,6
2005,51363,-999,1,6.7,7.8,6.7
2006,51363,-999,1,6,7,5.7
2007,51363,-999,1,6.7,9.2,4
2008,51363,-999,1,6.5,8.5,4.2
2009,51363,-999,1,6.4,7.4,5.5
2010,51363,-999,1,5.4,7.2,5.1
2011,51363,-999,1,5,6.6,4.9
2012,51363,-999,1,8,9,5.1
2013,51363,-999,1,5.6,8.9,5.9
2014,51363,-999,1,7.9,10.9,6
2015,51363,-999,1,6.2,8.5,6.4
2016,51363,-999,1,3.5,6.9,1.4
2017,51363,-999,1,1.7,3.7,3.1
1981,51364,-999,1,3.3,5.3,3.6
1982,51364,-999,1,5.3,7,6.3
1983,51364,-999,1,5,6.9,6.2
1984,51364,-999,1,5.7,6.7,5
1985,51364,-999,1,5.9,7.3,6.8
1986,51364,-999,1,4.9,6.8,6
1987,51364,-999,1,7.1,8.8,5.1
1988,51364,-999,1,5.2,6.3,5.5
1989,51364,-999,1,7,8.3,5.4
1990,51364,-999,1,5.4,6.6,5.2
1991,51364,-999,1,7.6,9.3,7.3
1992,51364,-999,1,6.7,8.6,5.8
1993,51364,-999,1,6.5,7.4,5
1994,51364,-999,1,6.5,8,5.8
1995,51364,-999,1,5.6,7.6,7.4
1996,51364,-999,1,5.9,7.4,4.8
1997,51364,-999,1,3.5,5.2,5.6
1998,51364,-999,1,5.4,7.2,5.6
1999,51364,-999,1,6,7.3,5.8
